Record Identifier,Response Code,Model ID,Delete Flag,Beneficiary HICN,Beneficiary Gender,Beneficiary Host ID,Beneficiary Effective Start Date,Beneficiary Effictive End Date,Beneficiary Medical Data Sharing Preference Indicator,QCP Indicator,Population Indicator
DTL_BEN,20 - Detail Record ID Error,NG ACO -V123,,SW4D2F3D6F4,U,J,01/01/22,12/31/26,N,Y,S
DTL_BEN,00-Sucess,NG ACO -V123,,E4D5F3S14DS,F,D,01/01/22,12/31/26,N,,
DTL_BEN,00-Sucess,NG ACO -V123,,A4S5E7D4SS3,F,E,01/01/22,12/31/26,Y,Y,
DTL_BEN,00-Sucess,NG ACO -V123,,ER7D4GGB2C5,M,F,01/01/22,12/31/26,N,,S
DTL_BEN,00-Sucess,NG ACO -V123,,S4D2F3F6SD4S,M,G,01/01/22,12/31/26,Y,,
DTL_BEN,00-Sucess,NG ACO -V123,,D112D4F5F63F,M,H,01/01/22,12/31/26,N,,S
DTL_BEN,00-Sucess,NG ACO -V123,,F1D2S4D7F9F6,F,H,01/01/22,12/31/26,Y,Y,
DTL_BEN,00-Sucess,NG ACO -V123,,D1F2F33F5G44,M,G,01/01/22,12/31/26,Y,,
DTL_BEN,20 - Detail Record ID Error,NG ACO -V123,,1S2D24R6F3D2,F,E,01/01/22,12/31/26,N,,
DTL_BEN,00-Sucess,NG ACO -V123,D,D4F5D3D1FF2D,F,F,01/01/22,6/31/22,N,,S
DTL_BEN,00-Sucess,NG ACO -V123,,D112D4F5F63F,M,B,01/01/22,12/31/26,N,Y,
DTL_BEN,00-Sucess,NG ACO -V123,,F1D2S4D7F9F6,U,C,01/01/22,12/31/26,Y,,
DTL_BEN,00-Sucess,NG ACO -V123,,1S4DS64D7S6F,F,D,01/01/22,12/31/26,N,,S
DTL_BEN,00-Sucess,NG ACO -V123,,F4G89D63F3G1,U,E,01/01/22,12/31/26,Y,Y,
DTL_DET,31-Trailer Record ID Error,NG ACO -V127,,F4D6S2S4D8S,F,H,01/01/22,12/31/26,N,,
DTL_DET,31-Trailer Record ID Error,NG ACO -V127,,1S2D24R6F3D3,M,G,01/01/22,12/31/26,N,Y,S
